Tiếng Việt,Tiếng Hàn,Phát âm,Danh mục,Độ khó
"Mới tinh","새것이다","sae-geo-si-da","adjective","easy"
"Chật","좁다","jop-da","adjective","easy"
"Rộng rãi","넓다","neol-da","adjective","easy"
"Tươi","신선하다","sin-seon-ha-da","adjective","normal"
"Hỏng","고장나다","go-jang-na-da","adjective","normal"
"Ồn ào","시끄럽다","si-kkeu-reop-da","adjective","normal"
"Yên tĩnh","조용하다","jo-yong-ha-da","adjective","normal"
"Dày","두껍다","du-kkeop-da","adjective","normal"
"Mỏng","얇다","yal-da","adjective","normal"
"Ướt","젖다","jeot-da","adjective","easy"
"Khô ráo","마르다","ma-reu-da","adjective","easy"
"Đầy","가득하다","ga-deuk-ha-da","adjective","normal"
"Trống","비어 있다","bi-eo it-da","adjective","normal"
"Tươi sáng","밝다","bak-da","adjective","easy"
"Thú vị","흥미롭다","heung-mi-rop-da","adjective","normal"
"Bất ngờ","갑작스럽다","gap-jak-seu-reop-da","adjective","hard"
"Tự nhiên","자연스럽다","ja-yeon-seu-reop-da","adjective","hard"
"Cẩn thận","조심하다","jo-sim-ha-da","action","easy"
"Liên lạc","연락하다","yeol-la-ka-da","action","normal"
"Đăng ký","등록하다","deung-ro-ka-da","action","normal"
"Hủy","취소하다","chwi-so-ha-da","action","normal"
"Di chuyển","이동하다","i-dong-ha-da","action","normal"
"Tham gia","참여하다","cha-myeo-ha-da","action","normal"
